,Sem.,Jour,Date,Heure,Domicile,xG,Score,xG.1,Extérieur,Affluence,Tribune,Arbitre,Rapport de match,Notes
89,9,Sam,2019-10-05,17:30,Paris S-G,3.4,4–0,0.6,Angers,47700,Parc des Princes,Willy Delajod,Rapport de match,
90,9,Sam,2019-10-05,20:00,Montpellier,3.1,3–1,1.3,Monaco,15532,Stade de la Mosson,François Letexier,Rapport de match,
91,9,Sam,2019-10-05,20:00,Dijon,1.1,1–0,0.8,Strasbourg,12124,Stade Gaston Gérard,Olivier Thual,Rapport de match,
92,9,Sam,2019-10-05,20:00,Nantes,1.3,1–0,0.3,Nice,15532,Stade de la Beaujoire - Louis Fonteneau,Amaury Delerue,Rapport de match,
93,9,Sam,2019-10-05,20:00,Brest,0.7,2–0,0.5,Metz,12682,Stade Francis-Le Blé,Antony Gautier,Rapport de match,
94,9,Sam,2019-10-05,20:00,Toulouse,1.1,1–3,0.8,Bordeaux,20084,Stadium Municipal,Benoît Bastien,Rapport de match,
95,9,Dim,2019-10-06,15:00,Lille,2.6,2–2,1.8,Nîmes,31542,Stade Pierre-Mauroy,Mikael Lesage,Rapport de match,
96,9,Dim,2019-10-06,17:00,Rennes,1.1,0–1,1.6,Reims,20950,Roazhon Park,Stéphanie Frappart,Rapport de match,
97,9,Dim,2019-10-06,21:00,Saint-Étienne,0.9,1–0,0.6,Lyon,34071,Stade Geoffroy-Guichard,Clément Turpin,Rapport de match,
98,,,,,,,,,,,,,,
99,10,Ven,2019-10-18,20:45,Nice,0.8,1–4,3.5,Paris S-G,32705,Stade de Nice,François Letexier,Rapport de match,
100,10,Sam,2019-10-19,17:30,Lyon,2.1,0–0,0.4,Dijon,48454,Groupama Stadium,Franck Schneider,Rapport de match,
101,10,Sam,2019-10-19,20:00,Metz,0.8,1–0,0.6,Nantes,16533,Stade Saint-Symphorien,Jérémie Pignard,Rapport de match,
102,10,Sam,2019-10-19,20:00,Toulouse,2.5,2–1,0.8,Lille,12277,Stadium Municipal,Stéphanie Frappart,Rapport de match,
103,10,Sam,2019-10-19,20:00,Reims,0.9,1–0,0.9,Montpellier,12187,Stade Auguste-Delaune II,Florent Batta,Rapport de match,
104,10,Sam,2019-10-19,20:00,Nîmes,0.5,1–1,1.2,Amiens,12189,Stade des Costières,Jeremy Stinat,Rapport de match,
105,10,Sam,2019-10-19,20:00,Angers,1.7,0–1,0.3,Brest,10369,Stade Raymond Kopa,Eric Wattellier,Rapport de match,
106,10,Dim,2019-10-20,15:00,Bordeaux,1.0,0–1,0.9,Saint-Étienne,25952,Stade Matmut-Atlantique,Ruddy Buquet,Rapport de match,
107,10,Dim,2019-10-20,17:00,Monaco,1.4,3–2,1.5,Rennes,6763,Stade Louis II.,Jérôme Brisard,Rapport de match,
108,10,Dim,2019-10-20,21:00,Marseille,1.6,2–0,0.5,Strasbourg,50203,Orange Vélodrome,Hakim Ben El Hadj Salem,Rapport de match,
109,,,,,,,,,,,,,,
110,11,Ven,2019-10-25,20:45,Nantes,1.7,0–1,0.9,Monaco,30656,Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,Rapport de match,
111,11,Sam,2019-10-26,17:30,Lille,1.8,3–0,0.3,Bordeaux,35925,Stade Pierre-Mauroy,Willy Delajod,Rapport de match,
112,11,Sam,2019-10-26,20:00,Lyon,1.9,2–0,0.8,Metz,48889,Groupama Stadium,Johan Hamel,Rapport de match,
